[2023-12-26 08:03:36,270: INFO: main: welcome to the custom log]
[2023-12-26 08:12:59,050: INFO: main: welcome to the custom log]
[2023-12-26 08:54:59,849: INFO: main: welcome to the custom log]
[2023-12-26 08:55:30,714: INFO: main: welcome to the custom log]
[2023-12-26 13:22:23,505: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-26 13:22:23,532: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-26 13:22:23,537: INFO: common: created directory at: artifacts]
[2023-12-26 13:22:23,541: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-26 13:22:23,549: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-26 13:23:51,203: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-26 13:53:33,723: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-12-26 13:53:33,734: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-26 13:53:33,736: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-26 13:53:33,738: INFO: common: created directory at: artifacts]
[2023-12-26 13:53:33,739: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-26 13:53:33,745: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-26 13:55:14,336: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-26 13:55:16,383: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
